Category	Bytes	MiB	AssetPath
KEEP_PROTECTED	40617	0.039	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/PhotoModeProfile.cs
KEEP_PROTECTED	40527	0.039	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Multi Terrain System/TerrainScene.cs
KEEP_PROTECTED	40121	0.038	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/NoiseLib.cs
KEEP_PROTECTED	39205	0.037	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaURPPipelineUtils.cs
KEEP_PROTECTED	37048	0.035	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/MaskSystem/PolyMask.cs
KEEP_PROTECTED	35543	0.034	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaSessionManagerEditor.cs
KEEP_PROTECTED	35153	0.034	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/LODGenerator.cs
KEEP_PROTECTED	34465	0.033	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaExtensionExporterEditor.cs
KEEP_PROTECTED	33714	0.032	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaConstants.cs
KEEP_PROTECTED	33313	0.032	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/GaiaDefaults.cs
KEEP_PROTECTED	32477	0.031	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Mesh Simplifier/LODGeneratorHelperEditor.cs
KEEP_PROTECTED	30216	0.029	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaDirectories.cs
KEEP_PROTECTED	29786	0.028	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Scene Management/GaiaPlayerEditor.cs
KEEP_PROTECTED	28949	0.028	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Spawning System/BiomeController.cs
KEEP_PROTECTED	27183	0.026	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Mask System/PolyMaskEditor.cs
